P03265	DP00003
P45481	DP00348
P06709	DP00349
Q56311	DP00350
Q27974	DP00351
O33599	DP00352
P23202	DP00353
Q99967	DP00356
P62328	DP00357
Q15185	DP00358
A6Q0K5	DP00359
Q16222	DP00363
Q15382	DP00364
P53041	DP00365
Q9NR00	DP00372
P45577	DP00377
P08047	DP00378
P22868	DP00379
P38582	DP00380
P35869	DP00381
O28362	DP00382
P63158	DP00384
P49841	DP00385
P25814	DP00387
P09983	DP00389
P17870	DP00390
Q09161	DP00392
P52298	DP00393
P40136	DP00395
O74718	DP00396
Q9ES89	DP00397
P07342	DP00398
P50097	DP00399
O00204	DP00404
P07363	DP00407
P12497	DP00410
P0A6G1	DP00412
P0ABS1	DP00414
P0ABE0	DP00415
P78504	DP00418
Q96T21	DP00420
P07516	DP00421
P0A6R3	DP00422
P53551	DP00423
P04325	DP00424
P0AFG8	DP00427
P53350	DP00428
P32170	DP00429
P11632	DP00432
Q9SQZ9	DP00434
Q01853	DP00435
P50477	DP00436
P43351	DP00437
Q05158	DP00438
Q14191	DP00443
P02511	DP00445
O35718	DP00446
P12579	DP00447
Q9Y613	DP00448
P53563	DP00449
P80457	DP00450
P84092	DP00455
Q9Y3D6	DP00457
P37727	DP00458
P08083	DP00461
P11157	DP00462
Q9Z0U4	DP00463
Q13485	DP00464
P04156	DP00466
P25963	DP00468
O24646	DP00469
P50542	DP00472
Q49AN0	DP00473
Q43125	DP00474
Q6Q547	DP00475
Q08826	DP00482
Q9UBE0	DP00485
Q9UBT2	DP00486
P09938	DP00487
P49723	DP00488
P21793	DP00489
O88900	DP00490
Q62165	DP00491
P10275	DP00492
Q9Z2F5	DP00499
P04234	DP00505
P07766	DP00506
P09693	DP00508
P30273	DP00509
O60356	DP00510
P56210	DP00512
Q97ZL0	DP00513
P60472	DP00516
P52179	DP00517
O54918	DP00518
P25054	DP00519
Q969F2	DP00520
O95997	DP00521
P02783	DP00527
P12950	DP00530
Q08655	DP00531
P06701	DP00533
Q9LZP9	DP00534
O43236	DP00537
P51608	DP00539
Q9VPU8	DP00540
Q91V27	DP00541
Q14061	DP00543
B0FRH7	DP00544
Q9NX55	DP00546
O00488	DP00549
P02628	DP00550
P16860	DP00551
P0AFX7	DP00552
Q9NZ94	DP00553
Q9C000	DP00554
Q16143	DP00555
Q00955	DP00557
P49354	DP00558
O66493	DP00559
P28583	DP00561
Q9Y296	DP00562
Q61337	DP00563
Q6P8Z1	DP00564
P63098	DP00565
Q07932	DP00567
P09132	DP00570
P39900	DP00571
P03305	DP00573
P77072	DP00575
P54252	DP00576
P0AG16	DP00578
O24172	DP00580
P11233	DP00581
P16006	DP00583
A2VD23	DP00584
Q9CQK7	DP00587
P27958	DP00588
J7QLC0	DP00591
P48539	DP00592
P49869	DP00594
P60723	DP00600
Q24246	DP00605
P42759	DP00606
Q16595	DP00607
Q13573	DP00608
O81283	DP00609
Q9SLF3	DP00610
P30291	DP00611
Q22472	DP00613
Q07412	DP00614
Q9WMX2	DP00615
P02788	DP00616
P60896	DP00617
P53954	DP00618
Q68FT9	DP00620
P00736	DP00621
P63045	DP00622
P83949	DP00623
P35638	DP00624
P45976	DP00625
P0AG11	DP00626
P15309	DP00628
Q07097	DP00629
O76070	DP00630
P38634	DP00631
Q01844	DP00632
Q09472	DP00633
P17120	DP00636
Q89933	DP00640
P51671	DP00641
Q91ZE9	DP00645
Q01231	DP00646
P00441	DP00652
P26039	DP00653
Q9ZPI5	DP00654
P59113	DP00655
P07674	DP00656
P31168	DP00657
P42758	DP00658
P16458	DP00659
Q9CX60	DP00661
Q8LBP4	DP00662
P81558	DP00663
Q01417	DP00664
P32004	DP00666
P42763	DP00667
P19250	DP00668
P81019	DP00669
Q29983	DP00670
Q92886	DP00672
P06935	DP00673
Q69422	DP00674
P19711	DP00675
P12810	DP00677
P11171	DP00678
Q99801	DP00683
Q98157	DP00685
Q9IH62	DP00686
P08067	DP00687
P30185	DP00689
P45561	DP00693
Q8N488	DP00694
Q9Y258	DP00696
Q9IK92	DP00697
O89339	DP00698
Q9IK91	DP00699
O55778	DP00700
P46937	DP00702
P24522	DP00704
P22943	DP00705
Q15517	DP00706
Q9UER7	DP00707
O35613	DP00708
Q9Y3M2	DP00709
Q9UGL1	DP00712
P02545	DP00716
P35521	DP00717
P37231	DP00718
Q13569	DP00719
Q05344	DP00720
Q8IRG6	DP00721
P0AGE2	DP00722
Q9MAA7	DP00723
Q9LQT8	DP00724
P41851	DP00725
Q5UPJ7	DP00726
P00760	DP00728
P00974	DP00729
P02631	DP00730
Q00496	DP00732
O08785	DP00734
Q9UKV8	DP00736
P03040	DP00741
Q99LM3	DP00742
P01160	DP00747
P46108	DP00748
Q9TY14	DP00749
Q38151	DP00750
E6PBU9	DP00752
C4M0U8	DP00753
Q70Q12	DP00754
Q04884	DP00756
Q9BSY4	DP00757
P80220	DP00759
E6PBU3	DP00761
O89467	DP00764
O00585	DP00765
P0A9K9	DP00766
P27782	DP00767
Q28181-4	DP00768
Q24F70	DP00769
P20435	DP00771
P40719	DP00774
P15311	DP00775
P0ACF8	DP00776
P46670	DP00778
P10175	DP00780
P10279	DP00783
G4NEJ8	DP00786
B2LME8	DP00787
P38801	DP00788
P08245	DP00790
P9WHJ5	DP00791
P36886	DP00792
P05387	DP00793
P50616	DP00794
P62326	DP00795
P15382	DP00796
O15273	DP00797
O14214	DP00798
P9WNK3	DP00799
P61012	DP00801
P22179	DP00803
A1B8N7	DP00806
Q84ZX5	DP00807
P24937	DP00808
P80870	DP00809
P0A882	DP00810
Q9V452	DP00811
P01252	DP00814
Q9DCL8	DP00815
P41236	DP00816
P40422	DP00818
O73557	DP00820
Q885L4	DP00822
N1NXA6	DP00823
Q9NJS1	DP00824
O31467	DP00827
P13183	DP00828
P22995	DP00833
P69428	DP00834
Q03337	DP00835
P01139	DP00836
Q16186	DP00839
P46065	DP00840
O14733	DP00841
P12506	DP00842
P01096	DP00844
P23632	DP00845
O60888	DP00846
P20220	DP00847
Q49ZM2	DP00848
Q9Q8E9	DP00849
P36932	DP00850
Q9KX51	DP00851
P00127	DP00853
Q9X8U3	DP00854
Q980M2	DP00856
A8AZZ3	DP00858
Q9L9I0	DP00861
P49785	DP00862
Q9X0Q3	DP00863
Q9BQ15	DP00864
Q6P3W2	DP00865
O54465	DP00866
Q9NHC3	DP00868
F2Z293	DP00869
H0W0T5	DP00870
A4ZNR2	DP00871
P80428	DP00872
Q9H981	DP00873
Q12406	DP00874
P69723	DP00875
P14340	DP00876
P9WHN5	DP00877
G8HXD9	DP00878
G1TDB3	DP00882
P50106	DP00884
Q9DDG2	DP00885
Q9RY65	DP00886
P21246	DP00887
P9WF19	DP00889
O31818	DP00892
P08240	DP00893
Q7B2Z6	DP00894
P03421	DP00895
P10121	DP00896
Q57565	DP00897
P13338	DP00898
P44654	DP00899
Q04660	DP00900
O75496	DP00901
O32728	DP00902
P47813	DP00903
Q58876	DP00904
Q9HB71-2	DP00907
P9WJ35	DP00908
P41567	DP00910
Q8N4Q1	DP00912
A0A0J9X1Q5	DP00913
I7MK25	DP00914
Q5JH72	DP00915
Q8GY31	DP00916
P21583	DP00917
A0MHA3	DP00918
C6KEI3	DP00919
P67966	DP00922
J8TM36	DP00925
Q9BQB4	DP00926
A0L5S6	DP00927
P62552	DP00928
P04608	DP00929
P80723	DP00930
Q5ZYC9	DP00931
P35926	DP00932
G1K3N3	DP00933
P61925	DP00934
P31087	DP00935
O88998	DP00936
Q12972	DP00937
P04859	DP00939
Q62627	DP00940
Q93009	DP00941
Q647G9	DP00942
O35274	DP00943
P12736	DP00944
P59595	DP00948
Q9HAU5	DP00949
P17677	DP00951
Q9H832	DP00953
Q9YGY0	DP00954
P06836	DP00955
Q63K18	DP00956
C0J347	DP00957
P46984	DP00958
O15169	DP00959
P52630	DP00961
P42224	DP00962
P0DJ89	DP00963
P60460	DP00964
P09415	DP00966
Q60795	DP00968
Q02548	DP00969
P0ABD8	DP00970
P46108-2	DP00973
P42866	DP00974
Q86FP9	DP00975
P04578	DP00976
Q86FP8	DP00977
P36595	DP00980
P12357	DP00984
Q87WW0	DP00985
Q8QWD4	DP00986
A0A0H3CFC9	DP00987
P0ACX9	DP00989
P12355	DP00990
P0AAC0	DP00991
P27356	DP00992
Q9I332	DP00993
P39015	DP00994
P01097	DP00995
Q9WZ73	DP00996
P0A4T9	DP00997
Q05127	DP00998
P03315	DP00999
B8YB65	DP01001
O87120	DP01002
Q9KJ82	DP01004
Q8PMB6	DP01005
P97303	DP01009
P51177	DP01010
P68390	DP01011
P27392	DP01012
P68927	DP01013
O94742	DP01014
Q83AR4	DP01015
P56254	DP01017
Q6URW6	DP01022
Q01101	DP01023
P27708	DP01024
P02619	DP01025
A5YV76	DP01026
Q4DRC4	DP01027
Q59471	DP01028
Q59472	DP01029
Q51912	DP01030
Q99IB8	DP01031
Q06556	DP01032
Q91006	DP01033
P73124	DP01034
Q39805	DP01035
I1JLC8	DP01036
Q9S446	DP01037
Q9FUM5	DP01038
Q85258	DP01039
Q9FUW7	DP01040
Q80FJ1	DP01043
Q47785	DP01044
Q7DB66	DP01045
O50835	DP01047
Q39532	DP01048
Q6QCC2	DP01049
P0A6X3	DP01050
Q7LKB1	DP01051
Q8MWS6	DP01052
Q76LA1	DP01054
Q8GT36	DP01055
A7UMX5	DP01056
Q42512	DP01057
Q9SIN5	DP01058
Q71FK2	DP01059
A8CDV5	DP01060
Q9Y6C2	DP01063
Q9NQI0	DP01065
Q9NQI0-2	DP01066
P19599	DP01067
Q9UBB5	DP01068
Q6MRH6	DP01069
P42568	DP01070
O23764	DP01071
Q61548	DP01073
Q7YUB9	DP01074
P20676	DP01075
Q02629	DP01076
P14907	DP01077
P40477	DP01078
P40517	DP01079
Q9C1S9	DP01080
Q7X2A1	DP01082
Q7TP21	DP01083
Q1K7R9	DP01084
Q9SKI4	DP01085
Q10Q08	DP01086
Q1PAB4	DP01087
Q9XES8	DP01088
P96884	DP01091
O66683	DP01092
B7T1D7	DP01093
Q9BP37	DP01094
Q9BP38	DP01095
Q25733	DP01096
P61244-2	DP01097
Q16222-2	DP01098
O00204-2	DP01099
P10636-8	DP01100
P04370-5	DP01101
P35637	DP01102
Q13698	DP01103
P46531	DP01104
P20444	DP01105
P16471	DP01106
Q13148	DP01108
P22626	DP01109
Q9UHD9	DP01110
Q13501	DP01111
P27986	DP01112
D0PV95	DP01113
P16333	DP01114
Q16236	DP01115
Q03164	DP01116
O60566	DP01117
Q12834	DP01118
P35222	DP01119
P24864	DP01120
Q38825	DP01121
Q27934	DP01122
P43403	DP01123
Q9Y261	DP01124
O43561	DP01126
Q8VHK2	DP01127
O43806	DP01128
P12296	DP01129
P49757	DP01130
O14558	DP01131
Q12778	DP01132
Q00987-11	DP01133
P10071	DP01134
P40019	DP01135
P22470	DP01136
Q6FI81	DP01137
A0A0G2JXC5	DP01139
P38293	DP01140
P70604	DP01141
O92972	DP01142
P08008	DP01144
O34800	DP01146
Q9I322	DP01147
A0A068MVV3	DP01148
Q14457	DP01149
P03255	DP01150
P03259	DP01151
Q9JK11	DP01152
P9WI73	DP01153
P19594	DP01154
O66858	DP01155
P07305	DP01156
P04908	DP01157
P06899	DP01158
A6NF83	DP01159
P9WPI9	DP01160
Q9UMS4	DP01161
Q96SD1	DP01162
O14974	DP01163
Q13625	DP01164
Q9HAN9	DP01165
O30916	DP01166
P02730	DP01167
F9UST4	DP01168
P24255	DP01169
O00268	DP01170
P42768	DP01171
O43516	DP01172
Q15726	DP01173
O43474	DP01174
P28235	DP01175
P08033	DP01176
P0AE98	DP01177
Q14978	DP01178
Q8RY59	DP01180
P56621	DP01181
P22216	DP01182
Q9R224	DP01183
O96013	DP01184
P46669	DP01185
P03086	DP01186
P34087	DP01187
P53874	DP01189
Q9WUP7-2	DP01190
O14140	DP01191
P55036	DP01192
Q9H211	DP01193
P39007	DP01195
P48439	DP01196
B9KDD4	DP01199
O29867	DP01200
Q47184	DP01201
O55000	DP01202
O75807	DP01203
P02263	DP01205
Q15797	DP01206
O43312	DP01224
Q9UMZ1	DP01228
P55735	DP01236
P36100	DP01237
P20591	DP01239
Q9UJX2	DP01240
P19634	DP01241
P25638	DP01243
O76074	DP01244
P12823	DP01245
O13916	DP01246
O95292	DP01248
P61073	DP01249
P02283	DP01250
P01137	DP01252
P05386	DP01253
P12956	DP01254
P13010	DP01255
Q32ZE1	DP01256
P41208	DP01259
P53905	DP01261
P49848	DP01262
Q9H816	DP01268
Q8NG31	DP01269
Q15691	DP01271
Q03132	DP01272
Q6VMQ6	DP01277
Q68DK7	DP01278
Q8N5Y2	DP01279
P05067	DP01280
Q9JM54	DP01281
Q16576	DP01282
Q9Y3E7	DP01283
P24928	DP01284
Q97W59	DP01285
Q7Z094	DP01286
Q9VZU1	DP01287
O43313	DP01288
Q9KMA5	DP01289
P0AE72	DP01291
P49768	DP01292
Q13542	DP01293
P41695	DP01294
Q98XH7	DP01295
Q6BBK3	DP01296
Q96273	DP01299
Q9SLJ2	DP01300
O14519	DP01303
Q99LJ8	DP01304
P08392	DP01305
Q03518	DP01306
O60828	DP01308
P50750	DP01309
Q8WUP2	DP01310
Q6NUK1	DP01311
Q9UMX1	DP01312
Q9N4U5	DP01313
Q9QWH1	DP01315
P25916	DP01316
O60741	DP01317
Q15796	DP01319
P36152	DP01320
Q01924	DP01322
Q8R316	DP01323
Q9HCJ0	DP01324
O43236-6	DP01325
Q9Y4P1	DP01326
Q8IV16	DP01327
Q9C0C7	DP01328
P28324	DP01329
P32639	DP01330
P23828	DP01331
P17931	DP01332
O00522	DP01333
B7T1D9	DP01334
O94907	DP01335
P03709	DP01336
Q96B02	DP01337
P0A903	DP01339
P52564	DP01342
Q13469	DP01344
Q9UNL4	DP01347
P12302	DP01351
P46014	DP01355
Q49492	DP01356
P15927	DP01361
P62826	DP01364
Q24139	DP01366
Q7M3Y3	DP01367
Q8WXE9	DP01368
J7M799	DP01377
P0CU43	DP01378
P0CU44	DP01379
P0CU45	DP01380
P0CU46	DP01381
P0CU47	DP01382
P0CU51	DP01383
P0CU50	DP01384
P0CU48	DP01385
P0CU49	DP01386
P0CU52	DP01388
P84233	DP01389
P62799	DP01390
P03520	DP01391
P53330	DP01392
P01130	DP01396
Q9Z0P7	DP01397
G0SCY6	DP01398
G0S4M4	DP01399
P45985	DP01400
P47093	DP01401
Q06406	DP01402
Q92913	DP01404
Q5V913	DP01405
O61667	DP01407
P31016	DP01413
Q16543	DP01420
Q2KIG3	DP01424
Q15004	DP01425
P06400	DP01426
Q01094	DP01427
Q09427	DP01429
Q03071	DP01430
C6ZFX3	DP01431
E1UJ20	DP01432
P04052	DP01433
P31431	DP01434
O60829	DP01435
P54936	DP01436
P90976	DP01437
O14936	DP01438
A5F384	DP01439
P44228	DP01440
P14921	DP01441
Q2Q4X9	DP01442
Q9UJX4	DP01443
P30260	DP01445
Q9Y239	DP01446
P30281	DP01447
P10923	DP01448
Q15637	DP01449
Q9UKT4	DP01450
Q9UBU9	DP01451
Q13042	DP01452
Q8NHZ8	DP01453
P60006	DP01454
Q96DE5	DP01455
Q01081	DP01456
Q92973	DP01457
Q9Y3B4	DP01458
P41352	DP01459
P41351	DP01460
Q13188	DP01461
O60563	DP01462
Q9UHB7	DP01463
P28229	DP01464
Q8IW19	DP01465
A4L7I2	DP01466
Q9SP32	DP01467
A3RMR8	DP01468
A4L7I4	DP01469
P36118	DP01471
Q6GX35	DP01472
Q96GU1	DP01473
P06748	DP01474
P55980	DP01475
Q02413	DP01476
Q9UJX5	DP01478
Q9UJX3	DP01479
Q96FI4	DP01480
Q5UPT2	DP01481
O13828	DP01482
P04626	DP01484
P40161	DP01485
P11912	DP01486
P40259	DP01487
P69346	DP01488
Q9UBK2	DP01489
Q9NR61	DP01490
P22059	DP01491
Q01097	DP01492
P09429	DP01493
Q9VMA3	DP01494
P08510	DP01495
P0AFG0	DP01496
Q9NK80	DP01497
O70480	DP01498
Q9JI51	DP01499
Q5R6Q2	DP01500
G3V7P1	DP01501
P33328	DP01502
P32867	DP01503
P39926	DP01504
P08263	DP01506
Q9UQC2	DP01507
Q15418	DP01508
P9WIP5	DP01509
O25010	DP01510
P32917	DP01511
P03050	DP01512
P53378	DP01513
P25344	DP01515
Q06810	DP01516
Q06710	DP01517
P26367	DP01518
A0A060ZAA1	DP01519
Q02297-10	DP01520
Q5RJL0	DP01521
Q9UM11	DP01524
Q9UJX6	DP01526
Q57904	DP01527
P15273	DP01528
O75554	DP01531
Q9NS23-4	DP01533
Q07889	DP01534
B6KJB6	DP01535
O00429-3	DP01537
P04147	DP01538
O57173	DP01539
O00429	DP01540
Q9DBZ9	DP01541
P06401	DP01542
P84634	DP01543
Q8WV28	DP01544
M5BF30	DP01545
P84051	DP01546
P29274	DP01547
Q8CJF7	DP01548
Q8WYP5	DP01549
J7FTI7	DP01550
Q99523	DP01551
P33763	DP01552
D6PZY5	DP01553
P23443	DP01554
Q9EPU7	DP01555
Q96GC6	DP01556
P27682	DP01557
Q9XTY3	DP01558
Q04964	DP01559
Q9UMR2	DP01560
P08235	DP01561
Q9Z1X4	DP01562
Q9CXY6	DP01563
Q12905	DP01564
Q9GSG7	DP01565
B9UCQ5	DP01567
P34021-2	DP01569
P12931	DP01570
Q88QP8	DP01571
P0C0Y1	DP01572
C6KSX0	DP01574
O14777	DP01576
P41969	DP01578
P34233	DP01579
P06239	DP01580
Q8NQJ3	DP01581
Q868N5	DP01582
P19880	DP01584
P52799	DP01588
P9WJA9	DP01589
Q92945	DP01590
P18212	DP01591
Q8VHC5	DP01592
P21374	DP01593
Q80ZV0	DP01594
P52945	DP01597
Q9BRG1	DP01598
P47142	DP01599
Q93KQ4	DP01600
P26599	DP01601
Q86WV6	DP01602
Q96IZ0	DP01603
Q12483	DP01604
P19339	DP01605
Q06208	DP01606
P29539	DP01607
Q9Y6H6	DP01608
P47910	DP01610
Q06696	DP01611
O88597	DP01612
Q96AC1	DP01613
Q14653	DP01614
P03126	DP01615
P03070	DP01618
Q9NR28	DP01619
P20823	DP01620
E5LC01	DP01621
Q06609	DP01622
Q03834	DP01623
Q06433	DP01624
P07567	DP01625
Q01831	DP01626
P47480	DP01627
P14736	DP01628
P32628	DP01629
P07276	DP01631
P29083	DP01633
A0A0H2ZP82	DP01635
Q8NI22	DP01637
P32776	DP01638
P17778	DP01639
Q13351	DP01640
Q07955	DP01641
P06492	DP01642
O75506	DP01643
P09038	DP01644
P20239	DP01645
P35236	DP01646
P51449	DP01647
P84022	DP01648
P0C1H4	DP01649
P0A7K2	DP01650
Q96T88	DP01651
Q3E840	DP01653
P36578	DP01654
Q5XJY5	DP01657
Q09882	DP01658
P05434	DP01659
P12301	DP01660
P70444	DP01661
P55957	DP01662
P27177	DP01663
Q9I9C0	DP01664
Q5S1W7	DP01665
Q548Y4	DP01667
P12081	DP01668
Q26680	DP01669
Q9I1X7	DP01670
P71590	DP01671
O75928	DP01675
P06454	DP01677
P02549	DP01700
Q5VZK9	DP01701
P62318	DP01704
Q07666	DP01705
P62320	DP01706
P62323	DP01707
P0AD49	DP01716
Q9NT62	DP01720
O95644	DP01724
P69490	DP01729
Q7Z3C6	DP01730
Q06628	DP01732
Q8AVN9	DP01733
P80644	DP01735
P52597	DP01736
P9WKX3	DP01737
P04271	DP01738
P9WNR7	DP01739
P68688	DP01740
Q6PHW0	DP01741
Q8NM20	DP01742
Q07528	DP01744
P48788	DP01747
P05556	DP01748
P51023	DP01749
P62877	DP01750
O43172	DP01751
Q60598	DP01752
Q8BHZ5	DP01754
Q13029	DP01757
Q0GBY3	DP01759
P37173	DP01760
P03714	DP01762
E6Y5X0	DP01763
O95718	DP01764
Q9NQA5	DP01765
Q9H1D0	DP01767
P58753	DP01768
Q8WUG5	DP01769
P50402	DP01770
P78560	DP01771
Q07912	DP01772
P98170	DP01773
O54928	DP01774
P53632	DP01775
Q8GYN5	DP01776
Q3LS93	DP01777
Q05917	DP01779
P21736	DP01780
O75112-6	DP01781
Q53GG5	DP01782
Q2JIZ5	DP01783
Q86UX7	DP01784
Q87P35	DP01785
D2JX42	DP01786
A0A1Z3GD05	DP01787
P98177	DP01788
A0A1Z3GD08	DP01789
P15941	DP01790
A0ZWU1	DP01791
Q99ML1	DP01794
Q9BUH6	DP01795
Q9NS91	DP01796
O96017	DP01797
P49790	DP01799
P04985	DP01801
P53999	DP01804
P40855	DP01805
Q67953	DP01806
P49005	DP01807
Q9I832	DP01808
Q15910	DP01817
P25644	DP01825
Q7Q3R9	DP01832
P85800	DP01833
Q6F3E8	DP01834
O43715	DP01835
O14713	DP01836
P37330	DP01837
P68005	DP01838
P38968	DP01840
P08514	DP01841
P05106	DP01842
P03404	DP01843
Q92540	DP01844
Q13451	DP01845
P05107	DP01848
O60260	DP01849
Q9JK66	DP01850
P10686	DP01851
P04480	DP01852
Q9M605	DP01854
Q9NQC3-1	DP01855
P09012	DP01857
Q96270	DP01858
Q5NJL5	DP01859
P17639	DP01860
P01042	DP01861
O75533	DP01863
Q9XTN4	DP01864
P47047	DP01867
P51587	DP01869
P84040	DP01870
P68246	DP01871
O95630	DP01872
Q99075	DP01873
O95149	DP01874
Q2GI62	DP01875
P52926	DP01876
Q96AY2	DP01877
Q9UPR3	DP01878
Q9JIH2	DP01879
Q15596	DP01880
P0C077	DP01881
P02655	DP01883
Q9UKT5	DP01884
P08592	DP01887
Q07930	DP01890
O14776	DP01893
O60885	DP01898
Q13568	DP01907
Q96RI1	DP01914
Q9V0U0	DP01919
P77522	DP01920
Q92900	DP01921
Q02078	DP01925
C4M7X2	DP01926
P03254	DP01928
P17763	DP01929
P29990	DP01930
Q2YHF0	DP01931
P07986	DP01933
Q9RJY2	DP01934
P83731	DP01935
Q9EPH0	DP01937
P11021	DP01938
Q5JJ98	DP01939
Q8BH64	DP01940
Q4JC68	DP01941
P50553	DP01942
Q9NRY2	DP01943
P31324	DP01944
A0A2K8FR49	DP01945
S6AWC2	DP01946
O65934	DP01947
Q9HZJ8	DP01948
P21333	DP01950
P04083	DP01951
Q63450	DP01958
P38516	DP01961
P19619	DP01963
P22303	DP01964
P0CE48	DP01965
P0CF51	DP01967
A4C1A5	DP01968
P27058	DP01969
M1GUG5	DP01970
P01071	DP01971
P13693	DP01972
Q09514	DP01973
P39748	DP01974
O74958	DP01975
P35520	DP01976
P49736	DP01977
Q02554	DP01978
Q6CMF0	DP01979
P76407	DP01981
Q8HYY9	DP01982
Q9Q8N4	DP01983
B4Y891	DP01984
Q8TEK3	DP01985
Q9ZLR7	DP01986
Q14493	DP01987
P36894	DP01990
Q80VP1	DP01993
P27321	DP01994
Q07009	DP01996
Q8K4J6	DP01999
O14745	DP02000
O08807	DP02001
O15922	DP02002
P16220	DP02003
Q92793	DP02004
P47710	DP02005
P04183	DP02006
Q9H2Y7	DP02007
Q9M4V2	DP02008
O75683	DP02009
Q9NRJ3	DP02010
P32684	DP02011
Q9Z8L4	DP02012
P0DP23	DP02013
P52272	DP02015
Q9RSK0	DP02016
A0A0H3LBR3	DP02017
P30429	DP02025
P17405	DP02027
P09546	DP02030
